name;marque;description;original_price;final_price
Eau minérale;MELLITI;0.5L;;0,380 DT
Eau minérale;AQUALINE;0.5L;;0,390 DT
Eau minérale;CRISTALINE;0.5L;;0,385 DT
Eau minérale;SAFIA;0.5L;;0,415 DT
Eau minérale;TIJEN;0.5L;;0,420 DT
Boisson au jus;FRUZZY;125ml - orange;;0,580 DT
Eau minérale;AQUALINE;1L;;0,600 DT
Eau minérale;SABRINE;1.5L;;0,620 DT
Eau de source;DELICE;1.5L;;0,620 DT
Eau minérale;CRISTALINE;1.5L;;0,630 DT
Eau gazéifiée;GARCI;1L;;0,670 DT
Eau minérale;SAFIA;1.5L;;0,695 DT
Boisson au jus;JUGO KIDS;125ml - orange;;0,730 DT
Eau minérale;MIRA;2L;;0,730 DT
Boisson au jus;JUGO KIDS;125ml - Coktail;;0,730 DT
Boisson au jus;JUGO KIDS;125ml - poire;;0,730 DT
Eau minérale;AQUALINE;2L;;0,760 DT
Boisson au jus;FRUZZY;19CL - orange;;0,830 DT
Nectar;DELICE;20CL - multivitaminé;;0,870 DT
Nectar;DELICE;20CL - mangue;;0,870 DT
Boisson instantanée;FRUITO;30GR - orange;;0,880 DT
Boisson instantanée;FRUITO;30GR - citron;;0,880 DT
Boisson instantanée;FRUITO;30GR - ananas;;0,880 DT
Boisson instantanée;FRUITO;30GR - peche;;0,880 DT
Boisson au jus;TROPICO;20CL - cocktail;0,890 DT;0,800 DT
Eau minérale;FOURAT;2L;;0,900 DT
Eau gazéifiée;DELIO;250ml - ananas;;0,960 DT
Eau gazéifiée;DELICE;250ml - menthe;;0,960 DT
Eau gazéifiée;DELICE;250ml - pomme;;0,960 DT
Eau gazéifiée;DELICE;250ml - peche;;0,960 DT
Eau gazéifiée;DELICE DELI'O;250ml - fraise;;0,960 DT
Boisson au jus;STIL;20CL - mangue;;1,000 DT
Boisson au jus;BNINO STIL;20CL - Fraise-Banane;;1,000 DT
Boisson au jus;STIL;20CL - peche;;1,000 DT
Boisson au jus;STIL;20CL - cocktail;;1,000 DT
Boisson au jus;STIL;20CL - orange;;1,000 DT
Boisson au jus;STIL;20CL - ananas;;1,000 DT
Boisson au jus;OH;25CL - Berries;;1,190 DT
Boisson au jus;OH;25CL - Banane orange;;1,250 DT
Boisson au jus;OH;25CL - poire;;1,250 DT
Boisson gazeuse;COCA COLA;30cl - zero;;1,250 DT
Boisson gazeuse;PUNCH;30cl - cidre;;1,250 DT
Boisson gazeuse;PUNCH;30cl - orange;;1,250 DT
Boisson gazeuse;PUNCH;30cl - pomme;;1,250 DT
Boisson gazeuse;COCA COLA;24cl - zero;;1,290 DT
Boisson gazeuse;BOGA;24cl - Lim-sans sucre;;1,290 DT
Boisson au jus;ENERGY STIL;25CL - mangue;;1,320 DT
Boisson au jus;STIL;25CL - tropical;;1,320 DT
Boisson gazeuse;VIVA;24cl - cidre;1,350 DT;1,150 DT
Boisson gazeuse;VIVA;24cl - citron;1,350 DT;1,150 DT
Boisson gazeuse;VIVA;24cl - pomme;1,350 DT;1,150 DT
Boisson gazeuse;VIVA;24cl - peche;1,350 DT;1,150 DT
Boisson gazeuse;FANTA;24cl - citron;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;24cl - Lim;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - agrumes;1,350 DT;1,310 DT
Boissons gazeuses;COCA COLA;30cl - cola;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - tonic;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - citron;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;24cl - cidre;1,350 DT;1,310 DT
Boisson gazeuse;FANTA;24cl - orange;1,350 DT;1,310 DT
Boisson gazeuse;APLA;24cl - pomme;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;30cl - cidre;1,350 DT;1,310 DT
Boisson gazeuse;FANTA;30cl - orange;1,350 DT;1,310 DT
Eau gazéifiée;BOGA;30cl - fruits rouges;1,350 DT;1,310 DT
Eau gazéifiée;BOGA;30cl - Pêche-Abricot;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;30cl - lime;1,350 DT;1,310 DT
Boisson gazeuse;COCA COLA;24cl - original;1,350 DT;1,310 DT
Boisson au jus;STIL;25CL - Cocktail energy;;1,320 DT
Boisson gazeuse;BOGA;50CL - sans sucre;;1,450 DT
Boissons gazeuses;COCA COLA;50CL - cola zéro;;1,450 DT
Boisson gazeuse;PUNCH;30cl - Au pulpe d'orange;;1,450 DT
Boisson gazeuse;VIVA;50CL - peche;;1,490 DT
Boisson gazeuse;PUNCH;0.5L - pomme;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;0.5L - orange;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;0.5L - cidre;1,590 DT;1,190 DT
Boissons gazeuses;VIVA;50CL - pomme;1,550 DT;1,490 DT
Boisson gazeuse;VIVA;50CL - citron;1,550 DT;1,490 DT
Boisson gazeuse;RAOUA;50CL - Chani;1,550 DT;1,490 DT
Boisson gazeuse;TROPICO;50CL - Cocktail de fruits;1,550 DT;1,490 DT
Boisson gazeuse;BOGA;50CL - mojito;1,550 DT;1,500 DT
Boisson gazeuse;BOGA;50CL - menthe;1,550 DT;1,500 DT
Boisson gazeuse;FANTA;50CL - tropical;1,550 DT;1,500 DT
Boisson gazeuse;BOGA;50CL - cidre;1,550 DT;1,500 DT
Boissons gazeuses;BOGA;50CL - lime;1,890 DT;1,500 DT
Boissons gazeuses;FANTA;50CL - orange;;1,500 DT
Boissons gazeuses;COCA COLA;50CL - cola;;1,500 DT
Boisson gazeuse;APLA;50CL - pomme;;1,500 DT
Boisson au jus;BEYTI;23.5CL - orange;;1,590 DT
Bière sans alcool;CELESTIA;25CL - mojito;;1,670 DT
Bière sans alcool;CELESTIA;25CL;;1,670 DT
Bière sans alcool;CELESTIA;25CL - Fraise-Grenade;;1,670 DT
Boisson gazeuse;PUNCH;0.5L - Au pulpe d'orange;;1,830 DT
Boissons gazeuses;SCHWEPPES;50CL - citron;;1,840 DT
Boisson au jus;SUN TOP;250ml - MIX FRUITS;;1,890 DT
Boisson au jus;SUN TOP;250ml - Mango;;1,890 DT
Boisson au jus;SUN TOP;250ml - orange;;1,890 DT
Boisson gazeuse;TROPICO;1L - Cocktail de fruits;2,500 DT;2,290 DT
Boisson gazeuse;BOGA;1L - sans sucre;2,600 DT;2,450 DT
Boissons gazeuses;COCA COLA;1L - cola zéro;2,600 DT;2,450 DT
Boisson gazeuse;VIVA;1L - pomme;2,600 DT;2,500 DT
Boissons gazeuses;VIVA;1L - citron;2,600 DT;2,500 DT
Boisson gazeuse;VIVA;1L - peche;2,600 DT;2,500 DT
Boisson gazeuse;CIDRE;1L;2,600 DT;2,500 DT
Boisson gazeuse;BOGA;1L - mojito;2,600 DT;2,520 DT
Boissons gazeuses;BOGA;1L - menthe;2,600 DT;2,520 DT
Boissons gazeuses;APLA;1L - pomme;2,600 DT;2,520 DT
Boissons gazeuses;BOGA;1L - lime;2,600 DT;2,520 DT
Boissons gazeuses;FANTA;1L - orange;2,600 DT;2,520 DT
Boissons gazeuses;COCA COLA;1L - cola;2,850 DT;2,520 DT
Boisson gazeuse;BOGA;1L - cidre;2,850 DT;2,520 DT
Boisson gazeuse;SCHWEPPES;1L - ananas;;2,520 DT
Boisson gazeuse;SPRITE;1L;;2,520 DT
Boisson gazeuse;FANTA;1L - citron;;2,520 DT
Boisson gazeuse;FANTA;1L - pomme;;2,520 DT
Boisson gazeuse;PUNCH;1L - pomme;;2,650 DT
Boisson gazeuse;PUNCH;1L - cidre;;2,650 DT
Boisson gazeuse;PUNCH;1L - orange;;2,650 DT
Boisson gazeuse;SCHWEPPES;1L - citron;;2,780 DT
Boissons gazeuses;SCHWEPPES;1L - tonic;;2,780 DT
Boisson gazeuse;PUNCH;1L - Au pulpe d'orange;;2,990 DT
Boisson ice tea;ARIS;400ml - fruits rouges;3,100 DT;2,490 DT
Boisson ice tea;ARIS;400ml - pomme;3,100 DT;2,490 DT
