name;marque;description;original_price;final_price
Eau minérale;MIRA;0.6L;;0,365 DT
Eau minérale;MARWA;0.5L;;0,380 DT
Eau minérale;CRISTALINE;0.5L;;0,385 DT
Boisson au jus;FRUZZY;125ml - tropical;;0,600 DT
Eau minérale;SABRINE;1.5L;;0,620 DT
Eau de source;DELICE;1.5L;;0,620 DT
Eau minérale;MELLITI;1.5L;;0,630 DT
Eau minérale;MARWA;1.5L;;0,630 DT
Eau minérale;CRISTALINE;1.5L;;0,630 DT
Eau de source;MIRA;0.95L;;0,630 DT
Eau minérale;TIJEN;1.5L;;0,670 DT
Eau gazéifiée;GARCI;1L;;0,690 DT
Eau minérale;SAFIA;1.5L;;0,695 DT
Eau minérale;MIRA;2L;;0,730 DT
Eau minérale;PALMA;1,5L;;0,750 DT
Boisson au jus;JUGO KIDS;125ml - poire;;0,760 DT
Boisson au jus;JUGO KIDS;125ml - Coktail;;0,760 DT
Boisson au jus;JUGO KIDS;125ml - orange;;0,760 DT
Eau minérale;CRISTALINE;2L;;0,840 DT
Boisson au jus;DELICE;20CL - poire;;0,870 DT
Nectar;DELICE;20CL - multivitaminé;;0,870 DT
Nectar;DELICE;20CL - mangue;;0,870 DT
Boisson au jus;DELICE;20CL - ananas;;0,870 DT
Boisson instantanée;FRUITO;30GR - orange;;0,910 DT
Boisson au jus;TROPICO;20CL - cocktail;0,890 DT;0,800 DT
Eau minérale;FOURAT;2L;;0,900 DT
Boisson instantanée;FRUITO;30GR - citron;;0,910 DT
Boisson instantanée;FRUITO;30GR - peche;;0,910 DT
Boisson instantanée;FRUITO;30GR - ananas;;0,910 DT
Eau gazéifiée;DELIO;250ml - ananas;;0,960 DT
Eau gazéifiée;DELICE;250ml - poire;;0,960 DT
Eau gazéifiée;DELICE;250ml - menthe;;0,960 DT
Eau gazéifiée;DELICE;250ml - pomme;;0,960 DT
Eau gazéifiée;DELICE;250ml - peche;;0,960 DT
Eau gazéifiée;DELICE DELI'O;250ml - fraise;;0,960 DT
Boisson au jus;STIL;20CL - mangue;;1,040 DT
Boisson au jus;STIL;20CL - peche;;1,040 DT
Boisson au jus;STIL;20CL - orange;;1,040 DT
Boisson au jus;STIL;20CL - cocktail;;1,040 DT
Boisson au jus;STIL;20CL - ananas;;1,040 DT
Boisson gazeuse;BOGA;30cl - sans sucre;;1,250 DT
Boisson gazeuse;COCA COLA;30cl - zero;;1,250 DT
Boisson gazeuse;PUNCH;30cl - cidre;;1,250 DT
Boisson gazeuse;PUNCH;30cl - orange;;1,250 DT
Boisson gazeuse;PUNCH;30cl - pomme;;1,250 DT
Boisson gazeuse;COCA COLA;24cl - zero;;1,290 DT
Boisson au jus;OH;25CL - Banane orange;;1,300 DT
Boisson au jus;OH;25CL - poire;;1,300 DT
Boisson gazeuse;VIVA;24cl - cidre;1,350 DT;1,150 DT
Boisson gazeuse;VIVA;24cl - pomme;1,350 DT;1,150 DT
Boisson gazeuse;VIVA;24cl - peche;1,350 DT;1,150 DT
Boisson gazeuse;BOGA;24cl - Lim-sans sucre;1,350 DT;1,290 DT
Boisson gazeuse;BOGA;24cl - cidre;1,350 DT;1,310 DT
Boisson gazeuse;FANTA;24cl - citron;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;24cl - Lim;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - agrumes;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - citron;1,350 DT;1,310 DT
Boisson gazeuse;SCHWEPPES;24cl - tonic;1,350 DT;1,310 DT
Boisson gazeuse;COCA COLA;24cl - original;1,350 DT;1,310 DT
Boisson gazeuse;FANTA;24cl - orange;1,350 DT;1,310 DT
Boisson gazeuse;APLA;24cl - pomme;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;30cl - cidre;1,350 DT;1,310 DT
Boisson gazeuse;FANTA;30cl - orange;1,350 DT;1,310 DT
Eau gazéifiée;BOGA;30cl - fruits rouges;1,350 DT;1,310 DT
Eau gazéifiée;BOGA;30cl - Pêche-Abricot;1,350 DT;1,310 DT
Boisson gazeuse;BOGA;30cl - lime;1,350 DT;1,310 DT
Boissons gazeuses;COCA COLA;30cl - cola;;1,310 DT
Boisson au jus;STIL;25CL - tropical;;1,370 DT
Boisson au jus;STIL;25CL - Cocktail energy;;1,370 DT
Boisson au jus;STIL;25CL - orange;;1,370 DT
Boisson gazeuse;BOGA;50CL - sans sucre;;1,450 DT
Boissons gazeuses;COCA COLA;50CL - cola zéro;;1,450 DT
Boisson gazeuse;PUNCH;0.5L - Lim;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;0.5L - citron;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;0.5L - orange;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;0.5L - pomme;1,590 DT;1,190 DT
Boisson gazeuse;PUNCH;30cl - Au pulpe d'orange;1,550 DT;1,450 DT
Boisson gazeuse;VIVA;50CL - peche;1,550 DT;1,490 DT
Boisson gazeuse;VIVA;50CL - citron;1,550 DT;1,490 DT
Boissons gazeuses;VIVA;50CL - pomme;1,550 DT;1,490 DT
Boisson gazeuse;TROPICO;50CL - Cocktail de fruits;1,550 DT;1,490 DT
Boisson gazeuse;BOGA;50CL - mojito;1,550 DT;1,500 DT
Boissons gazeuses;BOGA;50CL - lime;1,550 DT;1,500 DT
Boissons gazeuses;FANTA;50CL - orange;1,550 DT;1,500 DT
Boissons gazeuses;COCA COLA;50CL - cola;1,550 DT;1,500 DT
Boisson gazeuse;APLA;50CL - pomme;;1,500 DT
Boisson gazeuse;BOGA;50CL - menthe;;1,500 DT
Boisson gazeuse;BOGA;50CL - cidre;;1,500 DT
Boisson gazeuse;SPRITE;50CL;;1,500 DT
Boisson gazeuse;FANTA;50CL - tropical;;1,500 DT
Boisson au jus;BEYTI;23.5CL - mangue;;1,590 DT
Boisson au jus;BEYTI;23.5CL - orange;;1,590 DT
Bière sans alcool;CELESTIA;25CL - mojito;;1,740 DT
Bière sans alcool;CELESTIA;25CL;;1,740 DT
Bière sans alcool;CELESTIA;25CL;;1,740 DT
Bière sans alcool;CELESTIA;25CL - Fraise-Grenade;;1,740 DT
Boissons gazeuses;SCHWEPPES;50CL - citron;1,890 DT;1,840 DT
Boisson au jus;SUN TOP;250ml - orange;2,500 DT;1,890 DT
Boisson au jus;SUN TOP;250ml - MIX FRUITS;3,220 DT;1,890 DT
Boisson gazeuse;TROPICO;1L - Cocktail de fruits;2,600 DT;2,290 DT
Boisson gazeuse;BOGA;1L - sans sucre;2,600 DT;2,450 DT
Boissons gazeuses;COCA COLA;1L - cola zéro;2,600 DT;2,450 DT
Eau minérale;PRIMAQUA;6L;2,600 DT;2,460 DT
Boisson ice tea;ARIS;400ml - fruits rouges;2,600 DT;2,490 DT
Boisson gazeuse;CIDRE;1L;2,600 DT;2,500 DT
Boissons gazeuses;VIVA;1L - citron;2,600 DT;2,500 DT
Boisson gazeuse;VIVA;1L - pomme;2,600 DT;2,500 DT
Boisson gazeuse;FANTA;1L - pomme;2,600 DT;2,520 DT
Boisson gazeuse;FANTA;1L - citron;2,600 DT;2,520 DT
Boisson gazeuse;BOGA;1L - cidre;2,850 DT;2,520 DT
Boissons gazeuses;COCA COLA;1L - cola;2,850 DT;2,520 DT
Boissons gazeuses;FANTA;1L - orange;;2,520 DT
Boissons gazeuses;BOGA;1L - lime;;2,520 DT
Boissons gazeuses;APLA;1L - pomme;;2,520 DT
Boissons gazeuses;BOGA;1L - menthe;;2,520 DT
Boisson gazeuse;BOGA;1L - mojito;;2,520 DT
Boisson gazeuse;SPRITE;1L;;2,520 DT
Boisson gazeuse;PUNCH;1L - orange;;2,650 DT
Boisson gazeuse;SCHWEPPES;1L - citron;;2,780 DT
Boissons gazeuses;SCHWEPPES;1L - tonic;;2,780 DT
Boisson ice tea;ARIS;400ml - peche;3,220 DT;2,490 DT
Boisson ice tea;ARIS;400ml - citron;3,220 DT;2,490 DT
Boisson ice tea;ARIS;400ml - pomme;3,220 DT;2,490 DT
Boisson au jus;TROPICO;1L - cocktail;3,190 DT;3,100 DT
Nectar;DELICE;1L - tropical;;3,120 DT
Boisson au jus;DELICE;1L - Fruits blancs;;3,120 DT
Boisson au jus;DELICE;1L - orange;;3,120 DT
Boisson au jus;DELICE;1L - poire;;3,120 DT
Boisson au jus;DELICE;1L - peche;;3,120 DT
Nectar;DELICE;1L - mangue;;3,120 DT
Nectar;DELICE;1L - multivitaminé;;3,120 DT
Boisson au jus;DELICE;1L - mojito;;3,120 DT
Boisson au jus;DELICE;1L - raisin;;3,120 DT
Boissons gazeuses;COCA COLA;1.5L - cola zéro;;3,150 DT
Boisson gazeuse;VIVA;1.5L - pomme;;3,190 DT
Boisson gazeuse;VIVA;1.5L - peche;;3,190 DT
Boissons gazeuses;VIVA;1.5L - citron;;3,190 DT
Boisson gazeuse;VIVA;1.5L - cidre;;3,190 DT
Boisson gazeuse;RAOUA;1.5L - framboise;;3,190 DT
Boisson gazeuse;TROPICO;1.5L - Cocktail de fruits;;3,190 DT
Boisson gazeuse;PUNCH;1.5L - cidre;;3,260 DT
Boisson gazeuse;PUNCH;1.5L - pomme;;3,260 DT
Boisson gazeuse;PUNCH;1.5L - orange;;3,260 DT
Boisson gazeuse;PUNCH;1.5L - citron;;3,260 DT
Boissons gazeuses;SPRITE;1.5L;3,350 DT;3,250 DT
Boisson gazeuse;FANTA;1.5L - tropical;3,350 DT;3,250 DT
Boisson gazeuse;SCHWEPPES;1.5L - ananas;3,350 DT;3,250 DT
Boisson gazeuse;BOGA;1.5L - cidre;3,350 DT;3,250 DT
Boisson gazeuse;FANTA;1.5L - citron;3,350 DT;3,250 DT
Boissons gazeuses;COCA COLA;1.5L - cola;3,350 DT;3,250 DT
Boissons gazeuses;FANTA;1.5L - orange;3,350 DT;3,250 DT
Boissons gazeuses;BOGA;1.5L - lime;3,350 DT;3,250 DT
Boissons gazeuses;APLA;1.5L - pomme;3,350 DT;3,250 DT
Boisson gazeuse;PUNCH;1.5L - ananas;;3,260 DT
Boisson au jus;DIVA;1 Litre - pomme;;3,350 DT
Boisson au jus;DIVA;1Litre - Multi-fruits;;3,350 DT
Boisson ice tea;DI DI;250ml - Bergamotte;;3,390 DT
Boisson ice tea;DI DI;250ml - citron;;3,390 DT
Boisson ice tea;DI DI;250ml - peche;;3,390 DT
Boisson énergétique;BULL D'OR;25CL - Avec taurine;;3,420 DT
Boisson au jus;STIL;1L - orange;;3,520 DT
Boisson au jus;STIL;1L - tropical;;3,530 DT
Boisson au jus;STIL;1L - ananas;;3,530 DT
Boisson au jus;STIL;1L - mangue;;3,530 DT
Boisson au jus;STIL;1L - cocktail;;3,530 DT
Boisson gazeuse;PUNCH;1.5L - pulpe orange;;3,550 DT
Boisson au jus;YUMY;250ml - Smoothie...;;3,590 DT
Boisson au jus;DIVA;1L - ananas;;3,660 DT
Boisson au jus;RANI;1L - Orange-Ananas;3,990 DT;3,090 DT
Boisson au jus;RANI;1L - orange;3,990 DT;3,090 DT
Boisson au jus;RANI;1L - cocktail;3,990 DT;3,090 DT
Boisson au jus;YUMY;250ml - Smoothie...;5,840 DT;3,590 DT
Boisson au jus;YUMY;250ml - Smoothie...;5,840 DT;3,590 DT
Boisson au jus;YUMY;250ml - Smoothie...;;3,590 DT
Boisson au jus;OH;1L - Berries;;3,750 DT
Nectar;OH;1L;;3,820 DT
Nectar;OH;1L - poire;;4,090 DT
Citronnade;BOQUERIA;1L;;4,660 DT
Boisson au jus;RAUCH;355ML - cocktail;;4,850 DT
Boisson au jus;RAUCH;355ML - orange;;4,850 DT
Citronnade;BOQUERIA;1L - A' la menthe;;5,300 DT
Boisson énergétique;POWERHORSE;25CL;;5,340 DT
Boisson énergétique;POWERHORSE;25CL - grenadine;;5,340 DT
Boisson énergétique;POWER HORSE;25CL - Zero sugar;;5,340 DT
Boisson au jus;STIL;2L - orange;;5,400 DT
Boisson au jus;STIL;2L - cocktail;;5,400 DT
Jus;BOQUERIA;1 L - orange;;5,620 DT
Boisson énergétique;SHARK;25CL;;5,750 DT
Boisson énergitique;SHARK;25CL - Stimulation;;5,750 DT
Nectar;VITRAC;1L - Ananas-Orange;;6,320 DT
Nectar;VITRAC;1L - orange;;6,320 DT
Nectar;VITRAC;1L - Goyave;;6,320 DT
Boisson énergétique;RED BULL;25CL - Avec taurine;6,530 DT;4,890 DT
Nectar;VITRAC;1L - mangue;6,990 DT;6,530 DT
Boisson au jus;BEYTI;1L - orange;6,990 DT;6,650 DT
Boisson au jus;BEYTI;1L - mangue;11,390 DT;6,650 DT
Jus de fraise;BOQUERIA;1L;11,390 DT;7,580 DT
Jus de grenade;BOQUERIA;1L;11,390 DT;8,800 DT
Sirop de dattes;TAZART;340GR;11,390 DT;9,190 DT
